,HomeTeam,AwayTeam,Year,HomeGoals,AwayGoals,TotalGoals
0,France,Yugoslavia,1960,4,5,9
1,Czechoslovakia,Soviet Union,1960,0,3,3
2,Czechoslovakia,France,1960,2,0,2
3,Soviet Union,Yugoslavia,1960,2,1,3
4,Spain,Hungary,1964,2,1,3
5,Denmark,Soviet Union,1964,0,3,3
6,Hungary,Denmark,1964,3,1,4
7,Spain,Soviet Union,1964,2,1,3
8,Italy,Soviet Union,1968,0,0,0
9,Yugoslavia,England,1968,1,0,1
10,England,Soviet Union,1968,2,0,2
11,Italy,Yugoslavia,1968,1,1,2
12,Italy,Yugoslavia,1968,2,0,2
13,Hungary,Soviet Union,1972,0,1,1
14,Belgium,West Germany,1972,1,2,3
15,Hungary,Belgium,1972,1,2,3
16,West Germany,Soviet Union,1972,3,0,3
17,Czechoslovakia,Netherlands,1976,3,1,4
18,Yugoslavia,West Germany,1976,2,4,6
19,Netherlands,Yugoslavia,1976,3,2,5
20,Czechoslovakia,West Germany,1976,2,2,4
21,Czechoslovakia,West Germany,1980,0,1,1
22,Netherlands,Greece,1980,1,0,1
23,West Germany,Netherlands,1980,3,2,5
24,Greece,Czechoslovakia,1980,1,3,4
25,Netherlands,Czechoslovakia,1980,1,1,2
26,Greece,West Germany,1980,0,0,0
27,Belgium,England,1980,1,1,2
28,Spain,Italy,1980,0,0,0
29,Belgium,Spain,1980,2,1,3
30,England,Italy,1980,0,1,1
31,Spain,England,1980,1,2,3
32,Italy,Belgium,1980,0,0,0
33,Czechoslovakia,Italy,1980,1,1,2
34,Belgium,West Germany,1980,1,2,3
35,France,Denmark,1984,1,0,1
36,Belgium,Yugoslavia,1984,2,0,2
37,France,Belgium,1984,5,0,5
38,Denmark,Yugoslavia,1984,5,0,5
39,France,Yugoslavia,1984,3,2,5
40,Denmark,Belgium,1984,3,2,5
41,West Germany,Portugal,1984,0,0,0
42,Romania,Spain,1984,1,1,2
43,West Germany,Romania,1984,2,1,3
44,Portugal,Spain,1984,1,1,2
45,West Germany,Spain,1984,0,1,1
46,Portugal,Romania,1984,1,0,1
47,France,Portugal,1984,3,2,5
48,Denmark,Spain,1984,1,1,2
49,France,Spain,1984,2,0,2
50,West Germany,Italy,1988,1,1,2
51,Denmark,Spain,1988,2,3,5
52,West Germany,Denmark,1988,2,0,2
53,Italy,Spain,1988,1,0,1
54,West Germany,Spain,1988,2,0,2
55,Italy,Denmark,1988,2,0,2
56,England,Republic of Ireland,1988,0,1,1
57,Netherlands,Soviet Union,1988,0,1,1
58,England,Netherlands,1988,1,3,4
59,Republic of Ireland,Soviet Union,1988,1,1,2
60,England,Soviet Union,1988,1,3,4
61,Republic of Ireland,Netherlands,1988,0,1,1
62,West Germany,Netherlands,1988,1,2,3
63,Soviet Union,Italy,1988,2,0,2
64,Soviet Union,Netherlands,1988,0,2,2
65,Sweden,France,1992,1,1,2
66,Denmark,England,1992,0,0,0
67,France,England,1992,0,0,0
68,Sweden,Denmark,1992,1,0,1
69,Sweden,England,1992,2,1,3
70,France,Denmark,1992,1,2,3
71,Netherlands,Scotland,1992,1,0,1
72,CIS,Germany,1992,1,1,2
73,Scotland,Germany,1992,0,2,2
74,Netherlands,CIS,1992,0,0,0
75,Netherlands,Germany,1992,3,1,4
76,Scotland,CIS,1992,3,0,3
77,Sweden,Germany,1992,2,3,5
78,Netherlands,Denmark,1992,2,2,4
79,Denmark,Germany,1992,2,0,2
80,England,Switzerland,1996,1,1,2
81,Netherlands,Scotland,1996,0,0,0
82,Switzerland,Netherlands,1996,0,2,2
83,Scotland,England,1996,0,2,2
84,Scotland,Switzerland,1996,1,0,1
85,Netherlands,England,1996,1,4,5
86,Spain,Bulgaria,1996,1,1,2
87,Romania,France,1996,0,1,1
88,Bulgaria,Romania,1996,1,0,1
89,France,Spain,1996,1,1,2
90,France,Bulgaria,1996,3,1,4
91,Romania,Spain,1996,1,2,3
92,Germany,Czech Republic,1996,2,0,2
93,Italy,Russia,1996,2,1,3
94,Czech Republic,Italy,1996,2,1,3
95,Russia,Germany,1996,0,3,3
96,Russia,Czech Republic,1996,3,3,6
97,Italy,Germany,1996,0,0,0
98,Denmark,Portugal,1996,1,1,2
99,Turkey,Croatia,1996,0,1,1
100,Portugal,Turkey,1996,1,0,1
101,Croatia,Denmark,1996,3,0,3
102,Croatia,Portugal,1996,0,3,3
103,Turkey,Denmark,1996,0,3,3
104,Spain,England,1996,0,0,0
105,France,Netherlands,1996,0,0,0
106,Germany,Croatia,1996,2,1,3
107,Czech Republic,Portugal,1996,1,0,1
108,France,Czech Republic,1996,0,0,0
109,Germany,England,1996,1,1,2
110,Czech Republic,Germany,1996,1,2,3
111,Germany,Romania,2000,1,1,2
112,Portugal,England,2000,3,2,5
113,Romania,Portugal,2000,0,1,1
114,England,Germany,2000,1,0,1
115,England,Romania,2000,2,3,5
116,Portugal,Germany,2000,3,0,3
117,Belgium,Sweden,2000,2,1,3
118,Turkey,Italy,2000,1,2,3
119,Italy,Belgium,2000,2,0,2
120,Sweden,Turkey,2000,0,0,0
